id;name;category
A01;Atlanta Constitution;Political Reportage
A02;Dallas Morning News;Political Reportage
A03;Chicago Tribune;Political Reportage
A04;Christian Science Monitor;Political Reportage
A05;Providence Journal;Political Reportage
A06;Newark Evening News;Political Reportage
A07;New York Times;Political Reportage
A08;Times-Picayune, New Orleans;Political Reportage
A09;Philadelphia Inquirer;Political Reportage
A10;Oregonian, Portland;Political Reportage
A11;Sun, Baltimore;Sports Reportage
A12;Dallas Morning News;Sports Reportage
A13;Rocky Mountain News;Sports Reportage
A14;New York Times;Sports Reportage.
A15;St. Louis Post-Dispatch;Sports Reportage
A16;Chicago Tribune;Society Reportage
A17;Rocky Mountain News;Society Reportage
A18;Philadelphia Inquirer;Society Reportage
A19;Sun, Baltimore;Spot News
A20;Chicago Tribune;Spot News
A21;Detroit News;Spot News
A22;Atlanta Constitution;Spot News
A23;Oregonian, Portland;Spot News
A24;Providence Journal;Spot News
A25;San Francisco Chronicle;Spot News
A26;Dallas Morning News;Financial Reportage
A27;Los Angeles Times;Financial Reportage
A28;Wall Street Journal;Financial Reportage
A29;Dallas Morning News;Cultural Reportage.
A30;Los Angeles Times;Cultural
A31;Miami Herald;Cultural Reportage
A32;San Francisco Chronicle;Cultural Reportage
A33;Washington Post;Cultural Reportage
A34;New York Times;News of the Week in Review
A35;James J. Maguire;A Family Affair
A36;William Gomberg;Unions and the Anti-Trust Laws
A37;Time;National Affairs
A38;Sports Illustrated;A Duel Golfers Will Never Forget
A39;Newsweek;Sports
A40;Time;People. Art & Education
A41;Robert Wallace;This Is The Way It Came About
A42;Newsweek;National Affairs
A43A;U. S. News & World Report;Better Times for Turnpikes
A43B;U. S. News & World Report;A Plan to Free U. S. Gold Supply
A44A;John Tebbel;Books Go Co-operative
A44B;Gilbert Chapman;Reading and the Free Society
B01;Atlanta Constitution;Editorials
B02;Christian Science Monitor;Editorials
B03;Detroit News;Editorials
B04;Miami Herald;Editorials
B05;Newark Evening News;Editorials
B06;St. Louis Post-Dispatch;Editorials
B07;New York Times;Editorials
B08;Atlanta Constitution;Columns
B09;Christian Science Monitor;Columns
B10;Sun. Baltimore;Columns
B11;Los Angeles Times;Columns
B12;Newark Evening News;Columns
B13;Times-Picayune, New Orleans;Columns
B14;Atlanta Constitution;Columns
B15;Providence Journal;Letters to the Editor
B16;Chicago Tribune;Voice of the People
B17;Newark Evening News;What Readers Have to Say
B18;New York Times;Letters to the Times
B19;Philadelphia Inquirer;The Voice of the People
B20;Nation;Editorials
B21A;Gerald W. Johnson;The Cult of the Motor Car
B21B;James Deakin;How Much Fallout Can We Take
B22;Commonweal;Week by Week
B23A;William F. Buckley, Jr.;We Shall Return
B23B;James Burnham;Tangle in Katanga
B24;Time;Reviews
B25A;Alexander Werth;Walkout in Moscow
B25B;Peter Solsich, Jr.;The Armed Superpatriots
B26;National Review;To the Editor
B27;Saturday Review;Letters to the Editor
C01;Chicago Daily Tribune;Reviews
C02;Christian Science Monitor;Reviews
C03;New York Times;Reviews
C04;Providence Journal;Reviews
C05;Christian Science Monitor;Reviews
C06;Wall Street Journals;Reviews
C07;New York Times;Reviews
C08;Providence Journal;Reviews
C09;New York Times;Reviews
C10;Providence Journal;Reviews
C11;New York Times;Reviews
C12;Christian Science Monitor;Reviews
C13;Wall Street Journal;Reviews
C14;New York Times;Reviews
C15;Life;Reviews
C16;Saturday Review;Reviews
C17;Time;Reviews
D01;William Pollard;Physicist and Christian
D02;Schubert Ogden;Christ Without Myth
D03;Edward E. Kelly;Christian Unity in England
D04;Jaroslav Pelikan;The Shape of Death
D05;Perry Miller;Theodore Parker: Apostasy With in Liberalism
D06;A Howard Kelly;Out of Doubt into Faith
D06B;Shirley Schuyler;Not as the World Giveth
D06C;Nathanael Olson;Are You in Orbit?
D07;Peter Eldersveld;Faith Amid Fear
D08;Schuyler Cammann;The Magic Square of Three
D09;Eugene E. Golay;Organizing the Local Church
D10;Huston Smith;Interfaith Communication: The Contemporary Scene
D11;Paul Ramsey;War & the Christian Conscience
D12;Kenneth Underwood and Widen Jacobson;Probing the Ethics of Realtors
D13A;Donald H. Andrews;The New Science & the New Faith
D13B;George Bo Longstreet;The Seeming Impossible
D14;Kenneth S. Latourette;Christianity in a Revolutionary Age
D15;Ernest Becker;Zen: A Rational critique
D16A;Anonymous;What the Holy Catholic Bible Teach
D16B;Harold Brenneman;Notice You May Do As You Please
D17A;Anonymous;Guideposts: 15th Anniversary Issue
D17B;J. I. Rivero;The Night Our Paper Died
E01A;Ben Welder;Henri de Courcy: Jr. Mr. Canada
E0lB;Joe Welder;The Mark of the Champion
E02A;Dorothy Schroeder;Plant a Carpet of Bloom
E02B;Anonymous;Avocado is Something Special
E03;D. F. Martin;Will Aircraft or Missiles Win Wars?
E04A;Harris Goldsmith;The Schnabel Pro Arte Trout
E04B;Robert C. Marsh;The True Sound of a Solid Second
E04C;R.D.D.;Review of Adam, Giselle
E05A;Paul Nigro;The Younger Generation
E05B;Patricia Barney;Use of Common Sense Makes Dogs Acceptable
E05C;Anonymous;The Malady Lingers On
E06;Joseph E. Choate;The American Boating Scene
E07;Paul Larson and Gordon Odegard;How to Design Your Interlocking Frame
E08;Don Francisco;Formulas and Math Every Hot Rodder Should Know
E09A;Don McMahan;The Week at Ben White Raceway
E09B;Edith Shaw;The Picture at Del Mar
E10;Larry Koller;The New Guns of 61
E11;Idwal Jones;Santa Cruz Run
E12;Julia Newman;Travel and Camera USA
E13;Robert Deardorff;Step by Step through Istanbul
E14;Ann Carnahan;Nick Manero's Cook-out Barbecue Book
E15A;Anonymous;Pottery from Old Molds
E15B;Anonymous;Knitting Knacks
E16;Hal Kelly;Build Hotei
E17A;Anonymous;This is the Vacation Cottage You Can Build
E17B;Patrick K. Snook;Care and Basic Use of the Drill Press
E18A;Lura W. Watkins;The Bridge Over the Merrimac
